Datums;TestuSkaits;ApstiprinataCOVID19InfekcijaSkaits;Ipatsvars;IzarstetoPacientuSkaits;MirusoPersonuSkaits;ApstiprinatiVecGr_0-9Gadi;ApstiprinatiVecGr_10-19Gadi;ApstiprinatiVecGr_20-29Gadi;ApstiprinatiVecGr_30-39Gadi;ApstiprinatiVecGr_40-49Gadi;ApstiprinatiVecGr_50-59Gadi;ApstiprinatiVecGr_60-69Gadi;ApstiprinatiVecGr_70GadiUnVairak;ApstiprinatiVecGr_70-79Gadi;ApstiprinatiVecGr_80GadiUnVairak;IzveselojusosSkaits;14DienuKumulativaSaslimstibaUz100000Iedzivotaju;ApstCOVID19InfSk_NevakcVakcNepab;ApstCOVID19InfSk_Vakc;Population
2020.12.07.;3296;207;6.3;0;10;6;8;21;30;37;38;37;30;15;15;13074;431.5;...;…;1934379
2020.12.08.;9764;584;6;0;16;6;12;52;105;110;115;102;82;48;34;13518;438.1;...;…;1934379
2020.12.09.;8748;712;8.1;0;5;19;21;71;144;137;136;102;82;48;34;14089;445;...;…;1934379
2020.12.10.;9642;890;9.2;0;11;15;42;88;144;141;167;136;157;79;78;14983;444.5;...;…;1934379
2020.12.11.;10356;680;6.6;0;15;18;33;58;122;98;124;114;113;47;66;15618;446.8;...;…;1934379
2020.12.12.;8936;660;7.4;0;5;23;40;73;122;115;108;94;85;49;36;16368;441.9;...;…;1934379
2020.12.13.;5391;629;11.7;0;25;13;36;73;88;97;106;102;114;65;49;16778;453.1;...;…;1934379
2020.12.14.;2811;210;7.5;0;3;5;8;22;44;35;23;27;46;23;23;16869;458.9;...;…;1934379
2020.12.15.;9400;587;6.2;0;5;13;15;48;113;103;122;81;92;47;45;17477;457.6;...;…;1934379
2020.12.16.;9887;1023;10.3;0;25;19;34;84;150;162;178;179;217;103;114;18153;474.9;...;…;1934379
2020.12.17.;10344;1040;10.1;0;12;22;32;105;166;179;220;177;139;75;64;19072;480.6;...;…;1934379
2020.12.18.;9748;892;9.2;0;15;22;33;117;180;150;161;119;110;63;47;19751;491.4;...;…;1934379
2020.12.19.;10057;870;8.7;0;18;26;30;100;157;149;179;130;99;56;43;20534;495.3;...;…;1934379
2020.12.20.;5545;643;11.6;0;12;10;17;69;97;100;153;109;88;60;28;21051;501.4;...;…;1934379
2020.12.21.;3730;395;10.6;0;4;14;9;44;68;67;71;67;55;22;33;21248;511.2;...;…;1934379
2020.12.22.;10911;1004;9.8;0;16;28;38;99;166;164;203;156;150;82;68;21816;533.1;...;…;1934379
2020.12.23.;12155;1145;9.4;0;20;16;49;135;229;180;220;182;134;67;67;22523;555.6;...;…;1934379
2020.12.24.;11597;1270;11;0;7;38;56;130;233;207;242;192;172;100;72;23402;575.4;...;…;1934379
2020.12.25.;4029;666;16.5;0;16;4;32;73;124;134;125;103;71;38;33;24067;574.7;...;…;1934379
2020.12.26.;3001;399;13.3;0;13;15;12;44;73;76;82;50;47;29;18;24722;561.1;...;…;1934379
2020.12.27.;5054;511;10.1;0;44;12;21;45;79;88;112;85;69;45;24;25326;555;...;…;1934379
2020.12.28.;4437;508;11.5;0;19;10;14;55;117;80;87;70;75;44;31;25533;570.5;...;…;1934379
2020.12.29.;11207;838;7.5;0;25;14;34;83;145;158;159;138;107;52;55;26115;583.6;...;…;1934379
2020.12.30.;11971;1367;11.4;0;23;26;59;133;259;215;260;209;206;121;85;27113;601.5;...;…;1934379
2020.12.31.;12395;1861;15;0;9;37;82;217;331;280;360;259;295;148;147;28141;644.2;...;…;1934379
2021.01.01.;3960;711;18;0;9;9;43;100;143;101;125;116;74;42;32;29018;638.9;...;…;1934379
2021.01.02.;2498;314;12.6;0;24;4;9;34;65;53;43;49;57;26;31;29870;609.7;...;…;1934379
2021.01.03.;5896;568;9.6;0;12;10;33;69;100;84;90;85;97;45;52;30501;605.8;...;…;1934379
2021.01.04.;5550;621;11.2;0;12;5;29;68;133;114;123;87;62;41;21;30892;617.7;...;…;1934379
2021.01.05.;12352;824;6.7;0;30;10;32;116;143;137;160;114;112;66;46;31880;608.2;...;…;1934379
2021.01.06.;13946;1229;8.8;0;32;9;61;160;220;216;246;179;138;73;65;33005;612.6;...;…;1934379
2021.01.07.;13525;1374;10.2;0;36;34;84;173;238;243;266;201;135;80;55;34268;618.1;...;…;1934379
2021.01.08.;12799;1237;9.7;0;11;22;74;159;202;211;205;163;201;109;92;34918;648;...;…;1934379
2021.01.09.;11338;1170;10.3;0;17;27;65;148;191;188;244;167;140;83;57;35304;688.4;...;…;1934379
2021.01.10.;6336;616;9.7;0;31;10;35;62;78;80;112;82;157;64;93;35771;693.9;...;…;1934379
2021.01.11.;4179;331;7.9;0;15;6;10;33;46;57;67;43;69;40;29;36260;684.7;...;…;1934379
2021.01.12.;12516;878;7;0;18;15;34;119;156;168;157;137;92;55;37;37073;686.8;...;…;1934379
2021.01.13.;12293;1255;10.2;0;27;28;56;126;210;217;235;182;201;85;116;38417;680.9;...;…;1934379
2021.01.14.;12224;950;7.8;0;11;23;60;92;160;168;176;131;140;84;56;40269;633.1;...;…;1934379
2021.01.15.;12453;1084;8.8;0;15;22;41;130;187;224;192;145;143;85;58;40971;652.7;...;…;1934379
2021.01.16.;11804;1031;8.7;0;26;30;54;102;173;156;202;142;172;89;83;41261;690.3;...;…;1934379
2021.01.17.;6576;567;8.6;0;17;19;30;80;108;80;94;81;75;39;36;41817;690.2;...;…;1934379
2021.01.18.;3423;244;7.1;0;5;2;4;36;42;43;40;44;33;19;14;42426;670.4;...;…;1934379
2021.01.19.;13629;812;6;0;29;16;31;52;152;163;166;139;93;58;35;42408;669.8;...;…;1934379
2021.01.20.;12732;1088;8.5;0;20;27;51;111;188;162;217;160;172;89;83;42517;662.4;...;…;1934379
2021.01.21.;11816;902;7.6;0;25;30;48;80;146;168;184;137;109;53;56;42953;637.7;...;…;1934379
2021.01.22.;12397;876;7.1;0;19;32;52;71;146;166;169;129;111;72;39;46981;618.8;...;…;1934379
2021.01.23.;10598;910;8.6;0;21;27;41;87;128;167;179;146;135;79;56;48134;605.1;...;…;1934379
2021.01.24.;5506;512;9.3;0;14;12;31;53;102;83;82;70;79;46;33;48719;599.7;...;…;1934379
2021.01.25.;3901;223;5.7;0;3;7;8;35;48;27;40;30;28;15;13;49035;594;...;…;1934379
2021.01.26.;12552;693;5.5;0;12;15;34;90;104;118;133;106;93;54;39;49895;584.3;...;…;1934379
2021.01.27.;12197;1103;9;0;12;30;64;121;185;184;228;150;141;65;76;51123;576.4;...;…;1934379
2021.01.28.;10982;965;8.8;0;10;39;50;106;191;158;171;143;107;57;50;52062;577.1;...;…;1934379
2021.01.29.;11507;931;8.1;0;18;28;47;104;138;149;194;149;122;70;52;53131;569.1;...;…;1934379
2021.01.30.;9960;785;7.9;0;14;34;45;89;132;141;140;99;105;50;55;54136;556.2;...;…;1934379
2021.01.31.;5361;533;9.9;0;15;15;36;57;106;73;107;64;75;43;32;54686;554.4;...;…;1934379
2021.02.01.;3944;411;10.4;0;7;12;22;62;87;67;60;54;47;27;20;54925;563.2;...;…;1934379
2021.02.02.;12949;775;6;0;17;23;31;78;157;143;147;107;89;50;39;55708;561.3;...;…;1934379
2021.02.03.;12317;1231;10;0;31;50;75;136;211;202;210;168;179;101;78;56776;568.8;...;…;1934379
2021.02.04.;11818;742;6.3;0;31;30;54;93;127;125;129;93;91;46;45;57653;560.4;...;…;1934379
2021.02.05.;11495;876;7.6;0;28;33;56;105;146;144;151;142;99;58;41;58510;560.4;...;…;1934379
2021.02.06.;11439;1044;9.1;0;18;44;68;106;181;154;189;149;153;80;73;59399;567.4;...;…;1934379
2021.02.07.;5152;480;9.3;0;12;29;30;61;88;72;67;54;79;44;35;59897;565.7;...;…;1934379
2021.02.08.;3327;288;8.7;0;8;8;16;36;63;40;54;44;27;14;13;60117;569.1;...;…;1934379
