Datums;TestuSkaits;ApstiprinataCOVID19InfekcijaSkaits;Ipatsvars;IzarstetoPacientuSkaits;MirusoPersonuSkaits;ApstiprinatiVecGr_0-9Gadi;ApstiprinatiVecGr_10-19Gadi;ApstiprinatiVecGr_20-29Gadi;ApstiprinatiVecGr_30-39Gadi;ApstiprinatiVecGr_40-49Gadi;ApstiprinatiVecGr_50-59Gadi;ApstiprinatiVecGr_60-69Gadi;ApstiprinatiVecGr_70GadiUnVairak;ApstiprinatiVecGr_70-79Gadi;ApstiprinatiVecGr_80GadiUnVairak;IzveselojusosSkaits;14DienuKumulativaSaslimstibaUz100000Iedzivotaju;ApstCOVID19InfSk_NevakcVakcNepab;ApstCOVID19InfSk_Vakc;Population
2021.06.06.;5696;135;2.4;0;6;6;18;19;18;21;18;22;13;7;6;128619;204.3;...;…;1934379
2021.06.07.;2894;76;2.6;0;0;4;4;6;14;7;14;17;10;7;3;128751;201.2;...;…;1934379
2021.06.08.;12773;256;2;0;10;13;24;34;43;33;46;35;28;19;9;129172;191.7;...;…;1934379
2021.06.09.;12810;244;1.9;0;5;12;27;25;34;45;38;28;35;20;15;129562;183.7;...;…;1934379
2021.06.10.;10080;196;1.9;0;15;13;22;14;36;27;30;30;24;11;13;129903;175.7;...;…;1934379
2021.06.11.;10362;178;1.7;0;6;4;21;13;40;20;38;18;24;13;11;130253;166.4;...;…;1934379
2021.06.12.;8682;178;2;0;2;8;16;28;37;22;22;26;19;13;6;130548;159.6;...;…;1934379
2021.06.13.;6466;90;1.4;0;5;12;10;7;15;14;6;13;13;8;5;130628;154.9;...;…;1934379
2021.06.14.;3409;74;2.2;0;0;1;6;8;9;19;17;4;10;5;5;130823;153.4;...;…;1934379
2021.06.15.;11452;143;1.2;0;8;8;17;12;20;26;25;14;21;10;11;131139;144.1;...;…;1934379
2021.06.16.;9053;156;1.7;0;11;3;19;20;27;24;29;17;17;13;4;131480;134;...;…;1934379
2021.06.17.;9644;141;1.5;0;7;7;13;25;20;26;17;11;22;15;7;131770;125.8;...;…;1934379
2021.06.18.;9922;108;1.1;0;3;5;10;14;22;11;17;15;14;10;4;132019;117.8;...;…;1934379
2021.06.19.;8381;84;1;0;8;5;12;9;14;15;17;4;8;6;2;132270;108.8;...;…;1934379
2021.06.20.;5023;74;1.5;0;3;3;4;12;15;10;6;15;9;2;7;132399;105.5;...;…;1934379
2021.06.21.;3159;40;1.3;0;0;0;7;8;5;8;4;3;5;2;3;132475;103.6;...;…;1934379
2021.06.22.;8333;125;1.5;0;1;9;13;16;18;19;24;16;10;7;3;132721;96.7;...;…;1934379
2021.06.23.;5829;102;1.7;0;0;2;5;16;19;17;24;7;12;7;5;132960;89.2;...;…;1934379
2021.06.24.;2246;33;1.5;0;3;2;2;7;7;4;4;4;3;0;3;133141;80.6;...;…;1934379
2021.06.25.;2361;20;0.8;0;1;0;2;4;5;2;2;4;1;0;1;133313;72.3;...;…;1934379
2021.06.26.;5332;39;0.7;0;2;1;6;6;3;7;2;8;6;3;3;133489;64.9;...;…;1934379
2021.06.27.;7924;41;0.5;0;0;2;2;2;11;8;5;4;7;4;3;133574;62.3;...;…;1934379
2021.06.28.;4023;30;0.7;0;0;1;6;4;7;5;3;1;3;2;1;133648;60;...;…;1934379
2021.06.29.;11409;89;0.8;0;5;7;17;13;14;12;13;7;6;2;4;133783;57.2;...;…;1934379
2021.06.30.;8694;100;1.2;0;5;6;14;7;14;13;12;14;20;11;9;133928;54.2;...;…;1934379
2021.07.01.;8565;71;0.8;0;7;3;9;6;15;15;9;7;7;5;2;134062;50.5;...;…;1934379
2021.07.02.;7598;40;0.5;0;6;1;8;4;6;4;3;6;8;7;1;134167;46.9;...;…;1934379
2021.07.03.;9545;60;0.6;0;0;3;3;9;6;17;9;6;7;4;3;134243;45.6;...;…;1934379
2021.07.04.;7418;31;0.4;0;2;0;8;7;5;5;0;4;2;2;0;134314;43.4;...;…;1934379
2021.07.05.;3456;22;0.6;0;0;0;5;5;0;3;3;4;2;2;0;134354;42.4;...;…;1934379
2021.07.06.;8803;46;0.5;0;3;2;4;6;14;6;2;10;2;2;0;134478;38.2;...;…;1934379
2021.07.07.;6891;48;0.7;0;3;4;3;5;8;9;6;5;8;6;2;134580;35.4;...;…;1934379
2021.07.08.;6700;50;0.7;0;1;9;4;8;4;11;7;5;2;2;0;134610;36.3;...;…;1934379
2021.07.09.;6972;34;0.5;0;1;4;2;5;6;3;5;4;5;2;3;134629;37;...;…;1934379
2021.07.10.;9065;32;0.4;0;0;0;5;4;4;5;8;3;3;2;1;134633;36.7;...;…;1934379
2021.07.11.;6907;36;0.5;0;0;4;1;2;17;5;4;1;2;0;2;134673;36.4;...;…;1934379
2021.07.12.;3602;18;0.5;0;0;2;0;3;4;4;0;2;3;2;1;134703;35.8;...;…;1934379
2021.07.13.;8384;53;0.6;0;2;1;6;12;12;8;8;5;1;1;0;134821;33.9;...;…;1934379
2021.07.14.;7168;34;0.5;0;2;2;2;9;12;2;4;2;1;0;1;134916;30.4;...;…;1934379
2021.07.15.;6651;37;0.6;0;1;0;4;9;6;2;6;4;6;5;1;134980;28.6;...;…;1934379
2021.07.16.;7678;46;0.6;0;0;2;4;10;7;5;9;5;4;2;2;135014;28.9;...;…;1934379
2021.07.17.;9832;39;0.4;0;1;0;7;8;9;4;6;4;1;0;1;135074;27.8;...;…;1934379
2021.07.18.;7321;33;0.5;0;0;4;6;9;8;2;3;1;0;0;0;135103;27.9;...;…;1934379
2021.07.19.;3316;25;0.8;0;1;0;8;5;3;5;3;1;0;0;0;135125;28;...;…;1934379
2021.07.20.;7944;54;0.7;0;4;0;6;17;5;12;8;4;2;1;1;135168;28.5;...;…;1934379
2021.07.21.;6771;62;0.9;0;2;8;13;8;8;5;12;3;5;3;2;135213;29.2;...;…;1934379
2021.07.22.;6779;44;0.6;0;0;3;6;6;9;7;10;1;2;1;1;135262;28.9;...;…;1934379
2021.07.23.;7985;38;0.5;0;0;1;2;12;9;7;3;3;1;0;1;135295;29.1;...;…;1934379
2021.07.24.;10575;43;0.4;0;1;2;9;7;9;3;9;2;2;2;0;135326;29.7;...;…;1934379
2021.07.25.;6915;56;0.8;0;0;3;6;15;10;8;8;3;3;2;1;135362;30.7;...;…;1934379
2021.07.26.;3381;23;0.7;0;0;1;2;3;12;3;1;0;1;1;0;135380;31;...;…;1934379
2021.07.27.;8102;68;0.8;0;2;5;7;18;16;11;7;2;2;2;0;135431;31.8;...;…;1934379
2021.07.28.;6881;78;1.1;0;2;2;8;18;20;14;7;4;5;4;1;135463;34.1;...;…;1934379
2021.07.29.;6974;67;1;0;0;3;6;14;17;8;8;7;4;2;2;135499;35.7;...;…;1934379
2021.07.30.;7308;82;1.1;0;2;6;9;15;16;15;8;6;7;2;5;135545;37.6;...;…;1934379
2021.07.31.;11303;64;0.6;0;0;3;9;5;19;12;6;4;6;4;2;135583;38.9;...;…;1934379
2021.08.01.;8329;36;0.4;0;0;1;6;7;7;3;4;7;1;0;1;135616;39.1;...;…;1934379
2021.08.02.;3799;26;0.7;0;0;1;7;7;7;3;1;0;0;0;0;135640;39.1;...;…;1934379
2021.08.03.;8640;112;1.3;0;0;2;9;20;30;14;20;10;7;6;1;135690;42.2;...;…;1934379
2021.08.04.;7088;97;1.4;0;2;7;16;18;13;20;8;9;6;3;3;135750;44.1;...;…;1934379
2021.08.05.;6504;70;1.1;0;0;4;8;11;16;15;6;6;4;1;3;135795;45.4;...;…;1934379
2021.08.06.;7385;80;1.1;0;1;5;9;10;20;12;14;5;5;3;2;135833;47.6;...;…;1934379
2021.08.07.;10240;63;0.6;0;0;4;9;10;14;12;5;8;1;1;0;135875;48.7;...;…;1934379
2021.08.08.;8501;74;0.9;0;0;2;8;9;22;15;3;8;7;4;3;135931;49.7;...;…;1934379
2021.08.09.;3606;41;1.1;0;0;4;5;4;12;9;3;2;2;2;0;135954;50.6;...;…;1934379
2021.08.10.;8839;125;1.4;0;2;4;16;20;29;24;12;11;9;3;6;136020;53.6;95;30;1934379
2021.08.11.;7590;120;1.6;0;0;5;20;17;25;15;17;12;9;6;3;136096;55.8;100;20;1934379
2021.08.12.;7759;107;1.4;0;0;8;7;16;16;23;16;9;12;7;5;136163;57.9;87;20;1934379
2021.08.13.;8135;127;1.6;0;0;11;21;18;27;16;17;6;11;7;4;136243;60.3;109;18;1934379
2021.08.14.;11084;108;1;0;0;13;12;16;20;21;10;9;7;4;3;136307;62.6;91;17;1934379
2021.08.15.;8290;73;0.9;0;0;10;12;6;13;11;10;7;4;4;0;136343;64.6;63;10;1934379
2021.08.16.;4357;49;1.1;0;2;2;8;5;9;10;8;4;3;2;1;136369;65.8;39;10;1934379
